Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
305.0,Oso Ighodaro,22.0,PHO,PF,44.0,2.0,609.0,10.3,0.577,0.019,0.333,6.6,17.3,12.2,9.0,1.5,2.3,15.7,10.7,0.4,0.4,0.8,0.066,-3.3,0.3,-3.0,-0.2,
306.0,Jett Howard,21.0,ORL,SF,52.0,0.0,599.0,8.1,0.492,0.724,0.09,3.6,8.6,6.0,10.3,1.1,1.6,10.2,18.6,-0.3,0.6,0.3,0.026,-3.2,-0.8,-4.0,-0.3,
307.0,Jay Huff,26.0,MEM,C,50.0,1.0,595.0,18.1,0.676,0.671,0.203,4.3,13.6,9.1,7.4,0.9,6.5,9.8,19.2,1.4,0.8,2.1,0.17,2.9,1.0,3.9,0.9,
308.0,Aaron Holiday,28.0,HOU,PG,47.0,3.0,595.0,11.4,0.578,0.643,0.163,1.7,9.1,5.3,13.4,1.4,0.9,12.1,16.5,0.7,0.7,1.3,0.108,-1.3,0.3,-1.0,0.2,
309.0,Brandon Ingram,27.0,NOP,SF,18.0,18.0,595.0,16.2,0.56,0.345,0.165,3.0,15.5,9.0,26.7,1.3,1.7,16.2,30.1,-0.1,0.2,0.1,0.005,1.4,-1.7,-0.3,0.3,
310.0,Jared McCain,20.0,PHI,SG,23.0,8.0,592.0,15.4,0.589,0.485,0.204,2.4,8.7,5.4,16.8,1.3,0.0,11.0,24.9,0.7,0.1,0.8,0.063,1.9,-1.6,0.3,0.4,
311.0,Olivier-Maxence Prosper,22.0,DAL,PF,52.0,4.0,584.0,12.7,0.484,0.293,0.437,8.3,14.9,11.6,9.1,2.2,0.9,6.3,16.2,0.4,0.6,0.9,0.077,-1.6,-0.5,-2.1,0.0,
312.0,Jericho Sims,26.0,2TM,C,49.0,5.0,578.0,9.7,0.631,0.0,0.203,12.9,21.4,17.3,6.3,0.8,2.7,30.8,7.6,0.5,0.6,1.1,0.089,-3.3,-0.1,-3.4,-0.2,
312.0,Jericho Sims,26.0,NYK,C,39.0,5.0,422.0,9.9,0.619,0.0,0.283,14.0,20.8,17.4,6.2,0.9,2.2,28.9,7.5,0.4,0.4,0.8,0.093,-3.2,-0.4,-3.6,-0.2,
312.0,Jericho Sims,26.0,MIL,C,10.0,0.0,156.0,9.3,0.667,0.0,0.0,10.0,23.1,16.8,6.5,0.3,4.1,35.7,7.8,0.1,0.2,0.3,0.08,-3.4,0.8,-2.7,0.0,
313.0,Bruce Brown,28.0,2TM,PG,28.0,1.0,577.0,10.1,0.477,0.264,0.233,5.0,15.0,9.9,11.3,2.3,0.5,10.9,17.4,-0.2,0.4,0.2,0.02,-4.4,-0.2,-4.6,-0.4,
313.0,Bruce Brown,28.0,TOR,PG,18.0,0.0,353.0,12.5,0.525,0.275,0.221,5.2,16.0,10.5,11.4,2.3,0.8,11.7,19.5,0.0,0.3,0.4,0.053,-2.7,-0.1,-2.7,-0.1,
313.0,Bruce Brown,28.0,NOP,PG,10.0,1.0,224.0,6.3,0.377,0.242,0.258,4.6,13.4,8.9,11.1,2.4,0.0,9.2,14.3,-0.2,0.1,-0.2,-0.032,-7.1,-0.5,-7.6,-0.3,
314.0,Jaylin Williams,22.0,OKC,PF,35.0,6.0,576.0,15.7,0.557,0.706,0.092,7.5,27.4,17.6,18.5,1.3,4.0,12.4,14.3,1.0,1.3,2.3,0.188,1.1,2.7,3.8,0.9,
315.0,Joel Embiid,30.0,PHI,C,19.0,19.0,574.0,23.6,0.58,0.244,0.537,6.9,24.9,15.5,25.9,1.2,3.2,13.7,34.5,1.0,0.5,1.5,0.126,3.7,-0.2,3.5,0.8,
316.0,Jabari Walker,22.0,POR,SF,48.0,1.0,568.0,15.0,0.583,0.327,0.304,8.7,24.4,16.4,7.7,2.4,1.0,10.6,16.0,0.7,0.8,1.5,0.126,-1.2,0.5,-0.6,0.2,
317.0,Moritz Wagner,27.0,ORL,C,30.0,1.0,564.0,22.3,0.649,0.301,0.442,7.7,23.6,15.2,13.9,2.1,2.0,14.1,26.8,1.0,1.0,2.0,0.171,2.6,1.2,3.9,0.8,
318.0,Malcolm Brogdon,32.0,WAS,PG,24.0,13.0,564.0,15.8,0.544,0.233,0.383,3.9,13.1,8.5,27.3,1.1,0.8,11.9,23.6,0.6,0.1,0.8,0.064,0.0,-1.5,-1.6,0.1,
319.0,Steven Adams,31.0,HOU,C,45.0,2.0,561.0,16.4,0.512,0.008,0.561,21.4,21.7,21.5,12.9,1.4,3.4,20.3,14.1,0.6,0.9,1.5,0.128,-0.2,0.4,0.2,0.3,
320.0,Ajay Mitchell,22.0,OKC,SG,34.0,1.0,561.0,12.3,0.604,0.307,0.199,3.3,9.3,6.3,13.1,2.1,0.5,13.4,15.8,0.7,0.9,1.5,0.131,-2.2,1.0,-1.2,0.1,
321.0,Cam Reddish,25.0,LAL,SF,31.0,8.0,560.0,7.8,0.529,0.523,0.302,3.1,9.1,6.2,5.0,2.7,1.7,11.0,8.6,0.1,0.7,0.8,0.067,-4.1,1.8,-2.3,0.0,
322.0,Talen Horton-Tucker,24.0,CHI,SG,46.0,0.0,537.0,13.1,0.553,0.434,0.251,3.0,12.9,8.0,17.0,1.4,1.6,11.6,21.4,0.2,0.4,0.6,0.051,-1.6,-1.1,-2.6,-0.1,
323.0,DaQuan Jeffries,27.0,CHO,SG,28.0,4.0,537.0,7.2,0.476,0.553,0.114,4.6,10.8,7.6,8.0,1.5,2.0,10.9,12.2,-0.1,0.4,0.3,0.028,-4.8,0.0,-4.8,-0.4,
324.0,Reed Sheppard,20.0,HOU,PG,45.0,1.0,536.0,8.4,0.428,0.566,0.082,3.1,9.5,6.2,13.5,2.5,2.5,12.1,17.7,-0.5,0.8,0.3,0.03,-4.0,1.4,-2.6,-0.1,
325.0,Jamison Battle,23.0,TOR,SF,41.0,0.0,535.0,13.1,0.648,0.756,0.08,5.0,11.4,8.2,8.8,0.5,1.1,6.7,15.4,1.0,0.2,1.2,0.109,1.5,-1.5,0.0,0.3,
326.0,Gui Santos,22.0,GSW,PF,39.0,1.0,534.0,12.5,0.601,0.567,0.26,9.3,14.2,11.6,13.9,1.6,1.4,16.0,13.2,0.8,0.6,1.4,0.125,-1.7,0.5,-1.2,0.1,
327.0,Marcus Smart,30.0,2TM,PG,26.0,6.0,534.0,11.8,0.525,0.576,0.263,3.2,7.6,5.4,21.4,2.7,1.0,16.9,20.1,0.1,0.5,0.6,0.058,-2.0,0.2,-1.8,0.0,
327.0,Marcus Smart,30.0,MEM,PG,19.0,6.0,400.0,11.3,0.504,0.608,0.243,3.8,7.5,5.7,22.0,2.7,1.4,17.6,19.8,0.0,0.5,0.5,0.06,-1.6,0.4,-1.2,0.1,
327.0,Marcus Smart,30.0,WAS,PG,7.0,0.0,134.0,13.4,0.587,0.48,0.32,1.6,7.9,4.7,19.5,2.8,0.0,14.9,20.9,0.1,0.1,0.1,0.053,-3.2,-0.6,-3.8,-0.1,
328.0,DeAndre Jordan,36.0,DEN,C,46.0,2.0,528.0,14.6,0.626,0.0,0.349,13.9,29.7,22.2,8.4,1.1,3.4,21.3,12.4,0.6,0.7,1.3,0.117,-1.6,-0.1,-1.7,0.0,
329.0,Monte Morris,29.0,PHO,PG,40.0,0.0,522.0,11.6,0.514,0.427,0.234,2.2,9.6,6.1,17.6,1.6,0.5,8.3,17.4,0.3,0.2,0.5,0.046,-2.1,-0.9,-3.0,-0.1,
330.0,Micah Potter,26.0,UTA,C,30.0,9.0,522.0,9.4,0.59,0.74,0.135,6.9,18.3,12.7,5.9,0.9,2.0,16.6,10.6,0.3,0.2,0.5,0.049,-2.2,-0.5,-2.8,-0.1,
331.0,Svi Mykhailiuk,27.0,UTA,SF,26.0,12.0,515.0,10.1,0.522,0.683,0.107,3.0,9.8,6.4,14.6,1.5,1.1,14.6,22.2,-0.3,0.1,-0.1,-0.013,-1.4,-1.9,-3.3,-0.2,
332.0,Pelle Larsson,23.0,MIA,SG,40.0,2.0,513.0,9.0,0.551,0.492,0.305,3.7,9.3,6.5,10.5,1.5,0.8,8.8,13.8,0.4,0.5,0.8,0.077,-4.4,0.2,-4.2,-0.3,
333.0,Adem Bona,21.0,PHI,C,44.0,1.0,504.0,13.1,0.68,0.0,0.631,11.1,20.0,15.4,3.9,1.1,7.4,23.0,12.1,0.5,0.5,1.0,0.097,-4.6,0.1,-4.5,-0.3,
334.0,Jared Butler,24.0,2TM,SG,41.0,1.0,502.0,17.2,0.557,0.283,0.249,3.8,9.7,6.7,38.5,1.5,1.5,14.3,25.4,0.6,0.2,0.8,0.076,1.7,-1.3,0.4,0.3,
